"Story","Title","Result","Date","Stability","Duration (s)"
"Iniciar sesion en Guru","Iniciar sesion en Guru","SUCCESS","2021-06-28T12:04:33.0721277-05:00[America/Bogota]","0.0","20.02"
"Crear una cuenta bancaria","Buscar producto","SUCCESS","2021-06-30T08:55:52.8753845-05:00[America/Bogota]","0.0","18.41"
